product_name,model_code,monthly_price_text,original_price_text,discount_text,detail_url,image_url,image_local_path,page_number
เครื่องกรองน้ำ สีเบจ LG PuriCare Objet Collection รุ่น WD110MN.ABGPLMT,WD110MN,฿224,฿449,Subscription,https://www.lg.com/th/water-purifiers/wd110mn/lgsubscribe,https://www.lg.com/content/dam/channel/wcms/th/image-update/water-purifier/2024/wd110mn-abgplmt/gallery/01-basic/wp-mx-wd110mn-calmingbeige-basic-large.jpg/jcr:content/renditions/thum-350x350.jpeg,images_all_pages\WD110MN.jpg,1
เครื่องกรองน้ำ LG PuriCare รุ่น WD516AN.AEWPLMT สีขาว,WD516AN.AEWPLMT,฿299,฿599,Subscription,https://www.lg.com/th/water-purifiers/wd516an-aewplmt/lgsubscribe,https://www.lg.com/content/dam/channel/wcms/th/image-update/water-purifier/2024/wd516an-aewplmt/gallery/1_WD516AN.AWHRLML-450.jpg/jcr:content/renditions/thum-350x350.jpeg,images_all_pages\WD516AN.AEWPLMT.jpg,1
เครื่องกรองน้ำ สีเทา LG PuriCare Objet Collection รุ่น WD518AN.ACGPLMT,WD518AN.ACGPLMT,฿249,฿499,Subscription,https://www.lg.com/th/water-purifiers/wd518an-acgplmt/lgsubscribe,https://www.lg.com/content/dam/channel/wcms/th/image-update/water-purifier/2024/wd518an-acgplmt/gallery/WD518AN_ACGPLMT_1-450.jpg/jcr:content/renditions/thum-350x350.jpeg,images_all_pages\WD518AN.ACGPLMT.jpg,1
เครื่องกรองน้ำ LG PuriCare รุ่น WD516AN.ASLPLMT สีเงิน (Silver),WD516AN.ASLPLMT,฿299,฿599,Subscription,https://www.lg.com/th/water-purifiers/wd516an-aslplmt/lgsubscribe,https://www.lg.com/content/dam/channel/wcms/th/image-update/water-purifier/2024/wd516an-aslplmt/gallery/1_WD516AN.ASLRLML-450.jpg/jcr:content/renditions/thum-350x350.jpeg,images_all_pages\WD516AN.ASLPLMT.jpg,1
เครื่องกรองน้ำ LG PuriCare Objet Collection รุ่น WD518AN.AWHPLMT สีขาว,WD518AN.AWHPLMT,฿299,฿599,Subscription,https://www.lg.com/th/water-purifiers/wd518an-awhplmt/lgsubscribe,https://www.lg.com/content/dam/channel/wcms/th/image-update/water-purifier/2024/wd518an-awhplmt/gallery/WD518AN_AWHPLMT_1-450.jpg/jcr:content/renditions/thum-350x350.jpeg,images_all_pages\WD518AN.AWHPLMT.jpg,1
Wash Tower รุ่น WT1410NHEN ระบบ AI DD™ ความจุเครื่องซักผ้า 14 กก./ เครื่องอบผ้า 10 กก. พร้อม Smart WI-FI control ควบคุมสั่งงานผ่านสมาร์ทโฟน,WT1410NHEN,฿699,"฿1,399",Subscription,https://www.lg.com/th/laundry/wash-tower/wt1410nhen/lgsubscribe,https://www.lg.com/content/dam/channel/wcms/th/image-update/washing-machine/2025/wt1410nhen-anbppth/wt1410nhen/350-02.jpg/jcr:content/renditions/thum-350x350.jpeg,images_all_pages\WT1410NHEN.jpg,1
เครื่องซักผ้าฝาหน้า ซัก 20/ อบ 10 กก. F2520RNTB ระบบ AI DD™,F2520RNTB,฿424,฿849,Subscription,https://www.lg.com/th/laundry/front-load-washing-machine/f2520rntb/lgsubscribe,https://www.lg.com/content/dam/channel/wcms/th/image-update/washing-machine/2025/f2520rntb-aebpeth/gallery/basic_450_image_new.jpg/jcr:content/renditions/thum-350x350.jpeg,images_all_pages\F2520RNTB.jpg,1
เครื่องซักผ้า 13 กก. รุ่น FV1413S4M AI DD™,FV1413S4M,฿299,฿599,Subscription,https://www.lg.com/th/laundry/front-load-washing-machine/fv1413s4m/lgsubscribe,https://www.lg.com/content/dam/channel/wcms/th/image-update/washing-machine/2024/fv1413s4m-ambpeth/gallery/FV1413S4M-01-450.jpg/jcr:content/renditions/thum-350x350.jpeg,images_all_pages\FV1413S4M.jpg,1
เครื่องซักผ้าฝาบน 23 กก รุ่น TX2723ST5J ระบบ Inverter Direct Drive,TX2723ST5J,฿274,฿549,Subscription,https://www.lg.com/th/laundry/top-load-washing-machine/tx2723st5j/lgsubscribe,https://www.lg.com/content/dam/channel/wcms/th/image-update/washing-machine/2025/tx2723st5j-apbpeth/basic_450_new_image.jpg/jcr:content/renditions/thum-350x350.jpeg,images_all_pages\TX2723ST5J.jpg,1
เครื่องซักผ้าฝาบน 25 กก รุ่น TX2725AT9G ระบบ Inverter Direct Drive,TX2725AT9G,฿649,,Subscription,https://www.lg.com/th/laundry/top-load-washing-machine/tx2725at9g/lgsubscribe,https://www.lg.com/content/dam/channel/wcms/th/image-update/washing-machine/2025/tx2725at9g-aegpeth/gallery/01_TX2725AT9G_TH_Front_450.jpg/jcr:content/renditions/thum-350x350.jpeg,images_all_pages\TX2725AT9G.jpg,1
Wash Tower ซักผ้า 14 กก. และอบผ้า 10 กก. รุ่น WT1410NHEG ระบบ AI DD™ พร้อม Smart WI-FI control ควบคุมสั่งงานผ่านสมาร์ทโฟน,WT1410NHEG,฿699,"฿1,399",Subscription,https://www.lg.com/th/laundry/wash-tower/wt1410nheg/lgsubscribe,https://www.lg.com/content/dam/channel/wcms/th/images/washing-machine/wt1410nheg_abgpeth_eath_th_c/WT1410NHEG_ABGPETH_EATH_TH_C-350x350.jpg,images_all_pages\WT1410NHEG.jpg,1
